Model,Method,AUROC,ECE,PRR,Brier,ComputeTime
llama-3.1-8b-instant,SemanticDensity,0.4592103353171723,0.18942688235551067,-0.033531030632801336,0.2955206144429332,1.524120569229126
llama-3.1-8b-instant,Eccentricity,0.47779068079547105,0.2008189775431192,-0.04256430869463759,0.2837952673435211,1.524120569229126
llama-3.1-8b-instant,NumSemSets,0.41696908114385256,0.28012048174472887,-0.318909509226792,0.3855421686611446,1.524120569229126
llama-3.1-8b-instant,SAR,0.4789519523878647,0.1431806481005736,-0.04508543306856074,0.2824733257293701,1.524120569229126
llama-3.1-8b-instant,SentenceSAR,0.5648316156191029,0.15281278556998235,0.12800713293026944,0.26877060532569885,1.524120569229126
llama-3.1-8b-instant,RSS,0.4316664247350849,0.30182658214436237,-0.1753576126272624,0.35250186920166016,1.524120569229126
llama-3.1-8b-instant,CE,0.5616199738713892,0.41231682909151146,0.11290166199350944,0.4153776146243831,1.524120569229126
llama-3.1-8b-instant,HEF,0.49854841050950793,0.2675415038246772,0.040070265419101705,0.33083156626585597,1.524120569229126
llama-3.3-70b-versatile,LexicalSimilarity,0.5124836696182319,0.22970756120516037,0.024534358116105586,0.31375735185919273,1.566504955291748
llama-3.3-70b-versatile,Consistency,0.3920017419073886,0.15703554586114654,-0.21547850618464917,0.2950533628463745,1.566504955291748
llama-3.3-70b-versatile,SemanticEntropy,0.47263753810422415,0.34721451109840823,-0.25179394817133377,0.39110170149667184,1.566504955291748
llama-3.3-70b-versatile,DegMat,0.3920017419073886,0.1570354960858822,-0.21547850618464917,0.2950533330440521,1.566504955291748
llama-3.3-70b-versatile,EigValLaplacian,0.6043692843663812,0.05189944207898484,0.18867508495424953,0.2433920750922082,1.566504955291748
llama-3.3-70b-versatile,SemanticDensity,0.4062998983887356,0.23267690023266543,-0.16043599703493522,0.31208816264787576,1.566504955291748
llama-3.3-70b-versatile,Eccentricity,0.3903324139933227,0.17448793588408143,-0.21451898428646277,0.30044639110565186,1.566504955291748
llama-3.3-70b-versatile,NumSemSets,0.46951662069966615,0.2695783136765813,-0.29472846485240967,0.3621987952451054,1.566504955291748
llama-3.3-70b-versatile,SAR,0.3920017419073886,0.15703554586114654,-0.21547850618464917,0.2950533628463745,1.566504955291748
llama-3.3-70b-versatile,SentenceSAR,0.49045579910001447,0.16943909227848053,-0.09531482475590672,0.28959599137306213,1.566504955291748
llama-3.3-70b-versatile,RSS,0.5256568442444477,0.25068618940660753,0.004843307773784215,0.3234395980834961,1.566504955291748
llama-3.3-70b-versatile,CE,0.5319712585280882,0.446310618975942,-0.005619213044431448,0.4465865832927351,1.566504955291748
llama-3.3-70b-versatile,HEF,0.5606401509653071,0.35732578198360143,0.08352267100980897,0.37534938300817405,1.566504955291748
llama-4-scout-17b-16e-instruct,LexicalSimilarity,0.43634780084192193,0.27669257278300013,-0.09421476257969527,0.338740211625856,1.653451919555664
llama-4-scout-17b-16e-instruct,Consistency,0.4747060531281753,0.11294884189783808,-0.09320752509262889,0.27938389778137207,1.653451919555664
llama-4-scout-17b-16e-instruct,SemanticEntropy,0.47976847147626656,0.30960148637400076,-0.13186523947006,0.36855347698646745,1.653451919555664
llama-4-scout-17b-16e-instruct,DegMat,0.4747060531281753,0.11294886003057641,-0.09320752509262889,0.2793838679790497,1.653451919555664
llama-4-scout-17b-16e-instruct,EigValLaplacian,0.5168384380897083,0.0950788245284563,-0.027110694406988073,0.26925862040206144,1.653451919555664
llama-4-scout-17b-16e-instruct,SemanticDensity,0.4673755262011903,0.1775111774571761,-0.05093880281647342,0.2913033557590306,1.653451919555664
llama-4-scout-17b-16e-instruct,Eccentricity,0.47339962258673246,0.12328068521547031,-0.08714927614146982,0.28313401341438293,1.653451919555664
llama-4-scout-17b-16e-instruct,NumSemSets,0.4816192480766439,0.26907630491967865,-0.16148501229440926,0.3621151269364123,1.653451919555664
llama-4-scout-17b-16e-instruct,SAR,0.4747060531281753,0.11294884189783808,-0.09320752509262889,0.27938389778137207,1.653451919555664
llama-4-scout-17b-16e-instruct,SentenceSAR,0.5197779068079548,0.1870124605315995,-0.04368189381213365,0.2938213050365448,1.653451919555664
llama-4-scout-17b-16e-instruct,RSS,0.5027217302946727,0.26111913687852495,-0.005207589643119321,0.3308570683002472,1.653451919555664
llama-4-scout-17b-16e-instruct,CE,0.5452895921033531,0.4859777810936733,0.02191903580399038,0.4776547877768422,1.653451919555664
llama-4-scout-17b-16e-instruct,HEF,0.5214472347220206,0.36050017092173264,0.08784827446133386,0.38268596826508483,1.653451919555664
mistral_7b,LexicalSimilarity,0.32149078240673534,0.25203759412574805,-0.3960382192356937,0.3540552712892084,1.4992926120758057
mistral_7b,Consistency,0.3624256060386123,0.17873644948858453,-0.2958264711503122,0.30977001786231995,1.4992926120758057
mistral_7b,SemanticEntropy,0.47935113949775,0.3287584278604689,-0.2065257082075217,0.37891282924169345,1.4992926120758057
mistral_7b,DegMat,0.3624256060386123,0.17873636137200408,-0.2958264711503122,0.30977001786231995,1.4992926120758057
mistral_7b,EigValLaplacian,0.6337639715488461,0.04567821901069887,0.22737347398047383,0.23728328678910857,1.4992926120758057
mistral_7b,SemanticDensity,0.3947234722020613,0.20694062890608025,-0.23906667531539535,0.3213764514154368,1.4992926120758057
mistral_7b,Eccentricity,0.35872405283785747,0.21249417381652866,-0.3102042513696229,0.3159213662147522,1.4992926120758057
mistral_7b,NumSemSets,0.47889751778197126,0.2545180721908885,-0.1972124063165501,0.34826807235862195,1.4992926120758057
mistral_7b,SAR,0.3624256060386123,0.17873644948858453,-0.2958264711503122,0.30977001786231995,1.4992926120758057
mistral_7b,SentenceSAR,0.4563434460734504,0.17820118246487823,-0.23415323817542963,0.3036572337150574,1.4992926120758057
mistral_7b,RSS,0.5466686021193207,0.2784294984696142,0.06926763209574857,0.3334466218948364,1.4992926120758057
mistral_7b,CE,0.1684206706343446,0.48543802992088403,-0.5722486119137459,0.49221791171309126,1.4992926120758057
mistral_7b,HEF,0.5104151545942808,0.29064915893782145,-0.0043164560403329225,0.34340418282575735,1.4992926120758057
phi,LexicalSimilarity,0.356982145449267,0.311833534129695,-0.36215342185268085,0.3706051992807032,1.7224903106689453
phi,Consistency,0.35367977935839745,0.2578453697286636,-0.32873229131837717,0.30960768461227417,1.7224903106689453
phi,SemanticEntropy,0.5197597619393236,0.34750833750516424,-0.15747557226818792,0.3696897522954547,1.7224903106689453
phi,DegMat,0.35367977935839745,0.25784539402159584,-0.32873229131837717,0.30960768461227417,1.7224903106689453
phi,EigValLaplacian,0.6498040354187836,0.08942580927171885,0.2531844702426723,0.23337353618755077,1.7224903106689453
phi,SemanticDensity,0.38641312236899406,0.2630087835045524,-0.23723840450894523,0.3165534666279728,1.7224903106689453
phi,Eccentricity,0.3801712875598781,0.2098238282354481,-0.20128310960993195,0.31037637591362,1.7224903106689453
phi,NumSemSets,0.5178726956016838,0.2582831330197666,-0.1772255134036179,0.3285015061249058,1.7224903106689453
phi,SAR,0.35367977935839745,0.2578453697286636,-0.32873229131837717,0.30960768461227417,1.7224903106689453
phi,SentenceSAR,0.5819785164755406,0.16853631354015636,0.2816513327774386,0.28121984004974365,1.7224903106689453
phi,RSS,0.4161344171868196,0.3754246505089553,-0.2392422396310426,0.4014583230018616,1.7224903106689453
phi,CE,0.5051531426912469,0.37250673089169817,-0.16598007512094556,0.38931418874199974,1.7224903106689453
phi,HEF,0.44113804616054586,0.3697104919299764,-0.16851295767351798,0.39260784663720094,1.7224903106689453
qwen-3-235b-a22b-instruct-2507,LexicalSimilarity,0.4793148497604877,0.24666062469147823,-0.023972456715078094,0.32217870441024704,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,Consistency,0.4291079982580926,0.13958719230245756,-0.1424049170864225,0.29448652267456055,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,SemanticEntropy,0.6101393525910873,0.3171968074285157,0.120305225815361,0.3419664178732278,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,DegMat,0.4291079982580926,0.13958719949496082,-0.1424049170864225,0.29448649287223816,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,EigValLaplacian,0.5791660618377124,0.0627153918754877,0.13530491417543244,0.24737645185499102,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,SemanticDensity,0.4819095659747423,0.18890446775497668,-0.0668068466680758,0.2980872564260042,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,Eccentricity,0.4320837567136014,0.13533041051712383,-0.14575049288256267,0.2957662045955658,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,NumSemSets,0.6062563507040208,0.22289156678012045,0.08811207466015748,0.29631024112820026,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,SAR,0.4291079982580926,0.13958719230245756,-0.1424049170864225,0.29448652267456055,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,SentenceSAR,0.4988205835389751,0.19706377304013234,0.02625706962509083,0.2994379997253418,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,RSS,0.5678799535491363,0.3156256308689354,0.12576721621862333,0.3470657467842102,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,CE,0.5042458992596893,0.3984164548151981,-0.11088125257028554,0.39768836873858215,1.7191309928894043
qwen-3-235b-a22b-instruct-2507,HEF,0.5959863550587894,0.2877028075535482,0.16223677294523717,0.32792454288979667,1.7191309928894043
qwen32b,LexicalSimilarity,0.12835680069676297,0.4540464072445321,-0.6674468931148857,0.4012540243213975,2.0047576427459717
qwen32b,Consistency,0.5030120481927711,0.4969878329570035,0.8630924475398256,0.4969877600669861,2.0047576427459717
qwen32b,SemanticEntropy,0.49698795180722893,0.5030120479902102,-0.6553094516094728,0.5030120477876492,2.0047576427459717
qwen32b,DegMat,0.5030120481927711,0.4969878329570035,0.8630924475398256,0.4969877600669861,2.0047576427459717
qwen32b,EigValLaplacian,0.49698795180722893,0.5030120462406134,-0.6553094516094728,0.5030120442884569,2.0047576427459717
qwen32b,SemanticDensity,0.49698795180722893,0.5030120460159193,-0.6553094516094728,0.5030120438390692,2.0047576427459717
qwen32b,Eccentricity,0.5030120481927711,0.4969870604305382,0.8630924475398256,0.49698707461357117,2.0047576427459717
